name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
"China, Hong Kong SAR",HKG,Eastern and South-Eastern Asia,Asia,upper,less,7442734,41294,0.717,107.7,57190,85.511,1.347,-3427
"China, Macao SAR",MAC,Eastern and South-Eastern Asia,Asia,upper,less,713912,4515,0.662,108,3423,83.075,2.284,8807
"China, Taiwan Province of China",TWN,Eastern and South-Eastern Asia,Asia,upper,less,23317145,132404,0.87,106.8,205339,80.559,2.979,-32777
Dem. People's Republic of Korea,PRK,Eastern and South-Eastern Asia,Asia,low,less,26418204,342038,1.78,106,255826,73.642,14.535,-1997
Japan,JPN,Eastern and South-Eastern Asia,Asia,upper,more,124370947,749884,1.208,105.1,1524430,84.712,1.649,175003
Mongolia,MNG,Eastern and South-Eastern Asia,Asia,lower-middle,less,3431932,65019.00000000001,2.685,104.4,20340,71.734,10.551,0
Republic of Korea,KOR,Eastern and South-Eastern Asia,Asia,upper,less,51748739,236394,0.72,105.8,345502,84.329,2.074,87800
Afghanistan,AFG,Central and Southern Asia,Asia,low,less-least,41454761,1469029,4.84,105.1,240296,66.035,43.951,-48958
Bangladesh,BGD,Central and Southern Asia,Asia,lower-middle,less-least,171466990,3489953,2.163,104.9,859075,74.672,22.8,-549918
Bhutan,BTN,Central and Southern Asia,Asia,lower-middle,less,786385,9958,1.462,104.8,4805,72.975,19.34,291
India,IND,Central and Southern Asia,Asia,lower-middle,less,1438069596,23219489,1.975,107.3,9507008,72.003,22.619,-979179
Iran (Islamic Republic of),IRN,Central and Southern Asia,Asia,lower-middle,less,90608707,1173463,1.695,105.2,423367,77.654,9.868,262043.99999999997
Maldives,MDV,Central and Southern Asia,Asia,upper-middle,less,525994,5795,1.575,105.1,1230,81.041,4.312,-2877
Nepal,NPL,Central and Southern Asia,Asia,lower-middle,less-least,29694614,574297,1.984,104.9,205841,70.354,21.905,-409782
Pakistan,PAK,Central and Southern Asia,Asia,lower-middle,less,247504495,6882058,3.605,105.5,1600313,67.649,49.363,-1619557
Sri Lanka,LKA,Central and Southern Asia,Asia,lower-middle,less,22971617,324102,1.974,104.4,162453,77.483,5.098,-28011
Brunei Darussalam,BRN,Eastern and South-Eastern Asia,Asia,upper,less,458949,6237,1.747,107.6,2400,75.327,8.101,0
Cambodia,KHM,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,17423880,361586,2.579,105.2,111340,70.668,19.187,-31837
Indonesia,IDN,Eastern and South-Eastern Asia,Asia,upper-middle,less,281190067,4482359,2.127,106.1,2117706,71.146,17.117,-37501
Lao People's Democratic Republic,LAO,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,7664993,163043,2.421,105.3,47682,68.964,31.716,-10003
Malaysia,MYS,Eastern and South-Eastern Asia,Asia,upper-middle,less,35126298,435989,1.55,106.5,181166,76.657,6.39,181071
Myanmar,MMR,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,54133798,903822,2.115,106.6,495470,66.889,31.785,-34989
Philippines,PHL,Eastern and South-Eastern Asia,Asia,lower-middle,less,114891199,1840477,1.916,108,716490,69.833,20.711,-164284
Singapore,SGP,Eastern and South-Eastern Asia,Asia,upper,less,5789090,47472,0.943,106,27728,83.736,1.727,26996
Thailand,THA,Eastern and South-Eastern Asia,Asia,upper-middle,less,71702435,591200,1.212,106.4,637306,76.412,6.204,19648
Timor-Leste,TLS,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,1384286,30561,2.707,107.1,10065,67.689,37.559,-5620
Viet Nam,VNM,Eastern and South-Eastern Asia,Asia,lower-middle,less,100352192,1387961,1.913,110.9,659980,74.588,15.067,-81789
Armenia,ARM,Northern Africa and Western Asia,Asia,upper-middle,less,2943393,34668,1.714,108.7,27579,75.683,8.664,75000
