name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,growth_rate,tfr,sex_ratio,e0,imr,net
Romania,ROU,Europe and Northern America,Europe,upper,more,19118.479,-0.53,1.713,105.5,75.938,4.849,-27.78
Russian Federation,RUS,Europe and Northern America,Europe,upper-middle,more,145440.5,-0.323,1.449,105.7,73.154,3.542,27.807
Slovakia,SVK,Europe and Northern America,Europe,upper,more,5518.055,0.055,1.56,105.5,78.341,4.517,4.933
Ukraine,UKR,Europe and Northern America,Europe,lower-middle,more,37732.836,-1.546,0.977,106.3,73.422,5.893,-299.961
Denmark,DNK,Europe and Northern America,Europe,upper,more,5948.136,0.53,1.511,105.7,81.933,2.888,31.006
Estonia,EST,Europe and Northern America,Europe,upper,more,1367.196,0.004,1.35,106.1,79.153,1.399,5.717
Faroe Islands,FRO,Europe and Northern America,Europe,upper,more,54.714,1.329,2.24,106.7,80.179,6.109,0.599
Finland,FIN,Europe and Northern America,Europe,upper,more,5601.185,0.388,1.28,105.2,81.91,1.931,38.156
Guernsey,GGY,Europe and Northern America,Europe,upper,more,64.017,0.475,1.362,105.4,83.274,5.793,0.38
Iceland,ISL,Europe and Northern America,Europe,upper,more,387.558,1.642,1.54,106,82.691,0.955,4.63
Ireland,IRL,Europe and Northern America,Europe,upper,more,5196.63,1.185,1.598,105.6,82.412,2.864,43.873
Isle of Man,IMN,Europe and Northern America,Europe,upper,more,84.165,0.018,1.548,105,80.999,10.686,0.196
Jersey,JEY,Europe and Northern America,Europe,upper,more,103.674,0.177,1.371,105.4,79.707,8.607,0.48
Latvia,LVA,Europe and Northern America,Europe,upper,more,1882.396,-0.287,1.338,106.4,76.19,2.902,7.966
Lithuania,LTU,Europe and Northern America,Europe,upper,more,2854.099,0.891,1.201,105.2,76.025,2.828,44.935
Norway,NOR,Europe and Northern America,Europe,upper,more,5519.167,1.109,1.405,106.2,83.308,1.881,53.806
Sweden,SWE,Europe and Northern America,Europe,upper,more,10551.494,0.561,1.43,105.6,83.262,1.861,55.209
United Kingdom,GBR,Europe and Northern America,Europe,upper,more,68682.962,0.699,1.56,105.5,81.302,3.703,445.523
Albania,ALB,Europe and Northern America,Europe,upper-middle,more,2811.655,-0.711,1.348,107,79.602,8.137,-25.357
Andorra,AND,Europe and Northern America,Europe,upper,more,80.856,1.39,1.082,106.2,84.041,5.276,1.061
Bosnia and Herzegovina,BIH,Europe and Northern America,Europe,upper-middle,more,3185.073,-0.59,1.486,106.7,77.85,5.326,-0.485
Croatia,HRV,Europe and Northern America,Europe,upper,more,3896.023,-0.343,1.468,106,78.58,3.504,10.202
Gibraltar,GIB,Europe and Northern America,Europe,upper,more,38.471,2.332,1.888,106.5,83.553,8.311,0.689
Greece,GRC,Europe and Northern America,Europe,upper,more,10242.908,-2.077,1.334,106.4,81.857,3.325,-159.43
Holy See,VAT,Europe and Northern America,Europe,NA,more,0.496,-1.816,1,105,82.985,6.024,0
Italy,ITA,Europe and Northern America,Europe,upper,more,59499.453,-0.216,1.198,105.9,83.716,2.244,150.189
