name,iso3c,region_sdg,region_geo,grp_income,grp_develop,pop,births,tfr,sex_ratio,deaths,e0,imr,net
Myanmar,MMR,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,54133.798,903.822,2.115,106.6,495.47,66.889,31.785,-34.989
Philippines,PHL,Eastern and South-Eastern Asia,Asia,lower-middle,less,114891.199,1840.477,1.916,108,716.49,69.833,20.711,-164.284
Singapore,SGP,Eastern and South-Eastern Asia,Asia,upper,less,5789.09,47.472,0.943,106,27.728,83.736,1.727,26.996
Thailand,THA,Eastern and South-Eastern Asia,Asia,upper-middle,less,71702.435,591.2,1.212,106.4,637.306,76.412,6.204,19.648
Timor-Leste,TLS,Eastern and South-Eastern Asia,Asia,lower-middle,less-least,1384.286,30.561,2.707,107.1,10.065,67.689,37.559,-5.62
Viet Nam,VNM,Eastern and South-Eastern Asia,Asia,lower-middle,less,100352.192,1387.961,1.913,110.9,659.98,74.588,15.067,-81.789
Armenia,ARM,Northern Africa and Western Asia,Asia,upper-middle,less,2943.393,34.668,1.714,108.7,27.579,75.683,8.664,75
Azerbaijan,AZE,Northern Africa and Western Asia,Asia,upper-middle,less,10318.207,125.136,1.67,111.8,67.842,74.429,14.946,-84.122
Bahrain,BHR,Northern Africa and Western Asia,Asia,upper,less,1569.666,19.558,1.824,103.8,3.278,81.284,5.332,20.002
Cyprus,CYP,Northern Africa and Western Asia,Asia,upper,less,1344.976,14.524,1.389,106.5,9.499,81.648,3.12,8.697
Georgia,GEO,Northern Africa and Western Asia,Asia,upper-middle,less,3807.492,43.765,1.81,106.7,45.077,74.496,8.142,2.003
Iraq,IRQ,Northern Africa and Western Asia,Asia,upper-middle,less,45074.049,1159.682,3.249,105.7,186.266,72.324,19.019,-5.71
Israel,ISR,Northern Africa and Western Asia,Asia,upper,less,9256.314,172.312,2.83,105.5,51.294,82.408,2.781,9.999
Jordan,JOR,Northern Africa and Western Asia,Asia,lower-middle,less,11439.213,235.776,2.639,104.9,34.873,77.814,11.751,-17.445
Kuwait,KWT,Northern Africa and Western Asia,Asia,upper,less,4838.782,49.342,1.525,104.7,8.624,80.405,7.246,50.008
Lebanon,LBN,Northern Africa and Western Asia,Asia,lower-middle,less,5773.493,93.205,2.239,105.3,34.419,77.817,15.717,-34.193
Oman,OMN,Northern Africa and Western Asia,Asia,upper,less,5049.269,85.065,2.525,104.3,9.597,80.031,8.557,156.285
Qatar,QAT,Northern Africa and Western Asia,Asia,upper,less,2979.082,29.516,1.729,104,2.771,82.368,4.176,39.995
Saudi Arabia,SAU,Northern Africa and Western Asia,Asia,upper,less,33264.292,546.038,2.28,105.1,77.837,78.732,5.059,325.691
State of Palestine,PSE,Northern Africa and Western Asia,Asia,upper-middle,less,5409.202,146.384,3.311,105.1,38.937,65.17,14.182,-24.996
Syrian Arab Republic,SYR,Northern Africa and Western Asia,Asia,low,less,23594.623,521.601,2.712,105.2,118.9,72.12,16.736,757.309
Türkiye,TUR,Northern Africa and Western Asia,Asia,upper-middle,less,87270.501,1072.014,1.625,105,551.598,77.156,9.163,-318.07
United Arab Emirates,ARE,Northern Africa and Western Asia,Asia,upper,less,10642.081,104.015,1.2,104.6,9.916,82.909,4.864,300.004
Yemen,YEM,Northern Africa and Western Asia,Asia,low,less-least,39390.799,1386.914,4.59,105.9,188.764,69.295,32.274,-5.233
Belarus,BLR,Europe and Northern America,Europe,upper-middle,more,9115.68,65.05,1.208,105.9,121.587,74.434,1.905,-3.034
Bulgaria,BGR,Europe and Northern America,Europe,upper-middle,more,6795.803,62.645,1.749,106,102.98,75.636,4.724,5.173
Czechia,CZE,Europe and Northern America,Europe,upper,more,10809.716,91.845,1.448,105.3,113.525,79.834,2.225,-14.638
Hungary,HUN,Europe and Northern America,Europe,upper,more,9686.463,85.373,1.486,105.9,128.063,77.024,3.19,49.213
Poland,POL,Europe and Northern America,Europe,upper,more,38762.844,317.916,1.299,106,412.31,78.633,3.19,-7.824
Republic of Moldova,MDA,Europe and Northern America,Europe,upper-middle,more,3067.07,32.986,1.731,106.2,41.73,71.198,11.681,-18.57
Romania,ROU,Europe and Northern America,Europe,upper,more,19118.479,183.623,1.713,105.5,257.119,75.938,4.849,-27.78
Russian Federation,RUS,Europe and Northern America,Europe,upper-middle,more,145440.5,1297.207,1.449,105.7,1794.857,73.154,3.542,27.807
Slovakia,SVK,Europe and Northern America,Europe,upper,more,5518.055,52.271,1.56,105.5,54.167,78.341,4.517,4.933
Ukraine,UKR,Europe and Northern America,Europe,lower-middle,more,37732.836,212.231,0.977,106.3,495.421,73.422,5.893,-299.961
Denmark,DNK,Europe and Northern America,Europe,upper,more,5948.136,57.81,1.511,105.7,57.275,81.933,2.888,31.006
Estonia,EST,Europe and Northern America,Europe,upper,more,1367.196,11.036,1.35,106.1,16.693,79.153,1.399,5.717
Faroe Islands,FRO,Europe and Northern America,Europe,upper,more,54.714,0.69,2.24,106.7,0.564,80.179,6.109,0.599
Finland,FIN,Europe and Northern America,Europe,upper,more,5601.185,43.556,1.28,105.2,59.984,81.91,1.931,38.156
Guernsey,GGY,Europe and Northern America,Europe,upper,more,64.017,0.521,1.362,105.4,0.595,83.274,5.793,0.38
Iceland,ISL,Europe and Northern America,Europe,upper,more,387.558,4.347,1.54,106,2.612,82.691,0.955,4.63
Ireland,IRL,Europe and Northern America,Europe,upper,more,5196.63,53.268,1.598,105.6,35.55,82.412,2.864,43.873
Isle of Man,IMN,Europe and Northern America,Europe,upper,more,84.165,0.702,1.548,105,0.882,80.999,10.686,0.196
Jersey,JEY,Europe and Northern America,Europe,upper,more,103.674,0.853,1.371,105.4,1.15,79.707,8.607,0.48
Latvia,LVA,Europe and Northern America,Europe,upper,more,1882.396,14.25,1.338,106.4,27.614,76.19,2.902,7.966
Lithuania,LTU,Europe and Northern America,Europe,upper,more,2854.099,21.434,1.201,105.2,40.94,76.025,2.828,44.935
Norway,NOR,Europe and Northern America,Europe,upper,more,5519.167,51.545,1.405,106.2,44.143,83.308,1.881,53.806
Sweden,SWE,Europe and Northern America,Europe,upper,more,10551.494,97.915,1.43,105.6,93.944,83.262,1.861,55.209
United Kingdom,GBR,Europe and Northern America,Europe,upper,more,68682.962,688.388,1.56,105.5,653.747,81.302,3.703,445.523
Albania,ALB,Europe and Northern America,Europe,upper-middle,more,2811.655,28.803,1.348,107,23.428,79.602,8.137,-25.357
Andorra,AND,Europe and Northern America,Europe,upper,more,80.856,0.555,1.082,106.2,0.491,84.041,5.276,1.061
Bosnia and Herzegovina,BIH,Europe and Northern America,Europe,upper-middle,more,3185.073,24.569,1.486,106.7,42.861,77.85,5.326,-0.485
Croatia,HRV,Europe and Northern America,Europe,upper,more,3896.023,31.446,1.468,106,55.029,78.58,3.504,10.202
Gibraltar,GIB,Europe and Northern America,Europe,upper,more,38.471,0.464,1.888,106.5,0.25,83.553,8.311,0.689
Greece,GRC,Europe and Northern America,Europe,upper,more,10242.908,73.661,1.334,106.4,127.018,81.857,3.325,-159.43
Holy See,VAT,Europe and Northern America,Europe,upper,more,0.496,0.002,1,105,0.013,82.985,6.024,0
Italy,ITA,Europe and Northern America,Europe,upper,more,59499.453,384.627,1.198,105.9,663.448,83.716,2.244,150.189
Kosovo (under UNSC res. 1244),XKX,Europe and Northern America,Europe,upper-middle,more,1700.031,20.514,1.545,107.1,9.981,78.033,8.078,-28.754
Malta,MLT,Europe and Northern America,Europe,upper,more,532.956,4.213,1.098,106.7,3.928,83.299,6.233,6.591
Montenegro,MNE,Europe and Northern America,Europe,upper-middle,more,633.552,6.981,1.803,106.9,7.209,77.087,1.718,12
North Macedonia,MKD,Europe and Northern America,Europe,upper-middle,more,1831.802,16.878,1.465,107.7,19.863,77.395,4.716,-5.597
Portugal,PRT,Europe and Northern America,Europe,upper,more,10430.738,86.646,1.508,105.6,115.917,82.36,2.582,29.102
San Marino,SMR,Europe and Northern America,Europe,upper,more,33.733,0.2,1.149,106.6,0.27,85.706,1.081,-0.19
Serbia,SRB,Europe and Northern America,Europe,upper-middle,more,6773.201,59.84,1.5,106.9,93.928,76.769,4.166,4.348
Slovenia,SVN,Europe and Northern America,Europe,upper,more,2118.396,17.902,1.576,106.3,21.581,81.603,1.81,5.339
Spain,ESP,Europe and Northern America,Europe,upper,more,47911.579,336.821,1.213,106.4,447.463,83.67,2.386,119.099
Austria,AUT,Europe and Northern America,Europe,upper,more,9130.429,77.054,1.317,105.5,93.223,81.956,2.753,4.819
Belgium,BEL,Europe and Northern America,Europe,upper,more,11712.893,101.686,1.379,104.9,113.791,82.115,3.33,41.679
France,FRA,Europe and Northern America,Europe,upper,more,66438.822,638.891,1.639,104.9,616.095,83.325,3.503,91.862
Germany,DEU,Europe and Northern America,Europe,upper,more,84548.231,719.249,1.441,105.6,1034.14,81.378,2.969,609.553
